City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max_Temp,Cloudiness ,Wind_Speed
Bumba,2.1833,22.4667,0,94,0,0,CD,1634949189,69.08,6.0,2.82
Córdoba,-31.4135,-64.1811,0,66,0,0,AR,1634948926,70.59,75.0,19.57
Butaritari,3.0707,172.7902,0,78,0,0,KI,1634948680,82.42,100.0,18.12
San Quintín,30.4833,-115.95,0,81,0,0,MX,1634949189,64.63,5.0,18.99
Hilo,19.7297,-155.09,0,71,0,0,US,1634948597,80.33,75.0,10.36
Palauig,15.435,119.9045,0,67,0,0,PH,1634949189,84.4,100.0,1.68
Mossamedes,-15.1961,12.1522,0,71,0,0,AO,1634948730,64.67,45.0,12.64
Los Llanos de Aridane,28.6585,-17.9182,0,77,0,0,ES,1634948350,65.95,75.0,9.22
Fare,-16.7,-151.0167,0,89,0,0,PF,1634949190,76.69,100.0,22.93
Kiryat Gat,31.61,34.7642,0,67,0,0,IL,1634948446,68.4,0.0,4.18
Alice Town,25.7167,-79.3,0,77,0,0,BS,1634949190,81.03,100.0,13.69
Palmer,42.1584,-72.3287,0,68,0,0,US,1634948458,61.41,20.0,12.66
Puerto Ayora,-0.7393,-90.3518,0,84,0,0,EC,1634948595,70.16,57.0,8.28
Kruisfontein,-34.0033,24.7314,0,83,0,0,ZA,1634948652,57.43,99.0,5.91
Mandya,12.5242,76.8958,0,96,0,0,IN,1634949191,69.22,100.0,1.39
Sri Aman,1.2376,111.4621,0,94,0,0,MY,1634949191,75.25,20.0,2.3
Vaini,-21.2,-175.2,0,78,0,0,TO,1634948615,78.96,40.0,12.66
Saint-Philippe,-21.3585,55.7679,0,82,0,0,RE,1634948605,72.95,21.0,9.06
Batticaloa,7.7102,81.6924,0,85,0,0,LK,1634949192,78.33,9.0,5.28
Ribeira Grande,38.5167,-28.7,0,85,0,0,PT,1634948411,69.58,58.0,7.54
Katherine,-14.4667,132.2667,0,58,0,0,AU,1634948491,88.12,40.0,8.05
Ust'-Ilimsk,58.0006,102.6619,0,80,0,0,RU,1634949192,33.84,81.0,4.56
Busselton,-33.65,115.3333,0,65,0,0,AU,1634948370,60.04,2.0,5.41
Omboué,-1.5746,9.2618,0,87,0,0,GA,1634949086,76.98,100.0,6.51
Anloga,5.7947,0.8973,0,82,0,0,GH,1634948716,75.42,92.0,11.21
Huarmey,-10.0681,-78.1522,0,84,0,0,PE,1634948663,64.38,22.0,9.64
Sechura,-5.5569,-80.8222,0,76,0,0,PE,1634948674,68.58,87.0,16.42
Saint-Joseph,-21.3667,55.6167,0,80,0,0,RE,1634948744,71.96,10.0,4.23
Zhalantun,48.0,122.7167,0,42,0,0,CN,1634949193,44.98,7.0,4.85
Atuona,-9.8,-139.0333,0,79,0,0,PF,1634949193,77.9,23.0,16.69
Nokaneng,-19.6667,22.2667,0,42,0,0,BW,1634949193,79.48,69.0,6.11
Lahat,-3.8,103.5333,0,93,0,0,ID,1634948660,74.73,99.0,0.85
Jamestown,42.097,-79.2353,0,81,0,0,US,1634948582,46.29,75.0,3.44
Saldanha,-33.0117,17.9442,0,87,0,0,ZA,1634948621,55.45,100.0,25.61
Andros Town,24.7,-77.7667,0,77,0,0,BS,1634949194,75.16,100.0,14.38
Pevek,69.7008,170.3133,0,90,0,0,RU,1634948594,12.76,100.0,6.87
Ahipara,-35.1667,173.1667,0,94,0,0,NZ,1634948732,60.39,100.0,20.58
Bengkulu,-3.8004,102.2655,0,86,0,0,ID,1634948655,76.57,97.0,2.35
bargal,0.0,0.0,0,0,0,0,,,,,
Punta Arenas,-53.15,-70.9167,0,81,0,0,CL,1634948940,39.31,20.0,26.46
Tuktoyaktuk,69.4541,-133.0374,0,93,0,0,CA,1634948596,33.8,75.0,12.66
Jumla,29.2747,82.1838,0,90,0,0,NP,1634948987,47.35,5.0,4.32
Novy Urengoy,66.0833,76.6333,0,95,0,0,RU,1634948746,28.13,94.0,7.38
Payakumbuh,-0.2202,100.6308,0,88,0,0,ID,1634949195,75.36,96.0,0.45
Hobyo,5.3505,48.5268,0,81,0,0,SO,1634948654,78.46,10.0,10.25
Nouadhibou,20.931,-17.0347,0,73,0,0,MR,1634949195,71.58,59.0,12.66
Karasjok,69.4719,25.5112,0,97,0,0,NO,1634949196,26.71,78.0,3.71
karamea,0.0,0.0,0,0,0,0,,,,,
Geraldton,-28.7667,114.6,0,59,0,0,AU,1634948458,65.12,0.0,8.05
Sarangani,5.4033,125.4636,0,79,0,0,PH,1634949196,81.32,100.0,12.55
Sorata,-15.7667,-68.6333,0,86,0,0,BO,1634949196,48.2,68.0,4.76
Ichhāwar,23.0167,77.0167,0,70,0,0,IN,1634949197,66.29,0.0,2.48
mys shmidta,0.0,0.0,0,0,0,0,,,,,
Guerrero Negro,27.9769,-114.0611,0,73,0,0,MX,1634948724,69.85,1.0,18.32
Shiraz,29.6036,52.5388,0,43,0,0,IR,1634949197,51.24,0.0,0.0
Kwang Binh,17.4833,106.6,0,88,0,0,VN,1634949198,66.24,100.0,15.3
Kyabé,9.4515,18.9449,0,84,0,0,TD,1634949198,74.44,22.0,4.43
